Scenario Number,Scenario Name,Site Name,Force Plant Size,Force Electrolyzer Cost,Wind Size MW,Solar Size MW,Storage Size MW,Storage Size MWh,Lat,Long,ATB Year,Powercurve File,PTC Available,ITC Available,Debt Equity,Discount Rate,Turbine Rating,Tower Height,Rotor Diameter,Wind Cost KW,Solar Cost KW,Storage Cost KW,Storage Cost KWh,Electrolyzer Cost KW,Buy From Grid ($/kWh),Sell To Grid ($/kWh),Elec Spec,Efficiency
36,2028 Conservative,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,110,150,1096,1152,198,258,370,FALSE,FALSE,45,0.735
33,2028 Conservative-tx,TexasTest,TRUE,TRUE,100,100,100,150,36.103,-102.27,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,110,150,1096,1152,198,258,370,FALSE,FALSE,45,0.735
34,2028 Moderate,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,120,175,1056,846,252,179,370,FALSE,FALSE,45,0.735
39,2029 Advanced,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,135,200,780,681,120,156,335,FALSE,FALSE,45,0.735
40,2029 Conservative,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,110,150,1051,1151,194,252,335,FALSE,FALSE,45,0.735
37,2029 Conservative-tx,TexasTest,TRUE,TRUE,100,100,100,150,36.103,-102.27,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,110,150,1051,1151,194,252,335,FALSE,FALSE,45,0.735
38,2029 Moderate,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,120,175,1006,800,262,167,335,FALSE,FALSE,45,0.735
43,2030 Advanced,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,135,200,704,620,110,143,300,FALSE,FALSE,44,0.75
44,2030 Conservative,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,110,150,1006,1150,190,246,300,FALSE,FALSE,44,0.75
41,2030 Conservative-tx,TexasTest,TRUE,TRUE,100,100,100,150,36.103,-102.27,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,110,150,1006,1150,190,246,300,FALSE,FALSE,44,0.75
42,2030 Moderate,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,120,175,956,754,264,158,300,FALSE,FALSE,44,0.75
45,2031 Advanced,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,135,200,704,620,110,143,300,FALSE,FALSE,44,0.75
46,2031 Conservative,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,110,150,1006,1150,190,246,300,FALSE,FALSE,44,0.75
47,2031 Conservative-tx,TexasTest,TRUE,TRUE,100,100,100,150,36.103,-102.27,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,110,150,1006,1150,190,246,300,FALSE,FALSE,44,0.75
48,2031 Moderate,Georgia,TRUE,TRUE,100,100,100,150,33.162,-83.8,2035,powercurve_2020_atb_advanced,yes,no,60,0.07,7,120,175,956,754,264,158,300,FALSE,FALSE,44,0.75
